"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"In1.Cu (mm)";"In2.Cu (mm)";"B.Cu (mm)";
001;"Net-(R1-Pad1)";2;2;3.0900;29.9254;0.0000;33.0154;8.0992;0.0000;0.0000;21.8263;
002;"Net-(R7-Pad1)";1;2;0.2700;55.9505;0.0000;56.2205;53.7517;2.1989;0.0000;0.0000;
003;"Net-(Sample1-Pad3)";2;2;0.2700;34.7609;0.0000;35.0309;6.2109;28.5500;0.0000;0.0000;
004;"Net-(Sample1-Pad4)";2;2;0.2700;31.5100;0.0000;31.7800;2.9601;28.5500;0.0000;0.0000;
005;"Net-(Sample1-Pad5)";2;2;0.2700;34.3573;0.0000;34.6273;2.4843;31.8730;0.0000;0.0000;
006;"Net-(Sample1-Pad6)";2;2;0.2700;31.0746;0.0000;31.3446;2.5246;28.5500;0.0000;0.0000;
007;"Net-(Sample1-Pad7)";2;2;0.2700;34.4057;0.0000;34.6757;2.3223;32.0834;0.0000;0.0000;
008;"Net-(Sample1-Pad8)";2;2;0.2700;31.3036;0.0000;31.5736;2.7536;28.5500;0.0000;0.0000;
009;"Net-(Sample1-Pad9)";2;2;0.2700;34.5863;0.0000;34.8563;2.2714;32.3149;0.0000;0.0000;
010;"Net-(Sample1-Pad10)";2;2;0.2700;32.1556;0.0000;32.4256;3.6056;28.5500;0.0000;0.0000;
011;"Net-(Sample1-Pad11)";2;2;0.2700;35.4119;0.0000;35.6819;3.3285;32.0834;0.0000;0.0000;
012;"Net-(Sample1-Pad12)";2;2;0.2700;33.8731;0.0000;34.1431;4.3306;29.5426;0.0000;0.0000;
015;"Net-(R2-Pad1)";1;0;0.0000;46.3448;0.0000;46.3448;46.3448;0.0000;0.0000;0.0000;
016;"Net-(R3-Pad1)";1;2;3.0900;45.4573;0.0000;48.5473;39.8672;0.0000;0.0000;5.5901;
017;"Net-(Sample1-Pad15)";2;2;2.8200;47.3442;0.0000;50.1642;3.4565;0.0000;43.8876;0.0000;
018;"Net-(Sample1-Pad16)";2;2;2.8200;43.2126;0.0000;46.0326;2.8389;0.0000;40.3737;0.0000;
019;"Net-(Sample1-Pad17)";2;2;2.8200;47.0299;0.0000;49.8499;2.9472;0.0000;44.0827;0.0000;
020;"Net-(Sample1-Pad18)";2;2;2.8200;43.2842;0.0000;46.1042;2.3013;0.0000;40.9828;0.0000;
021;"Net-(Sample1-Pad19)";2;2;2.8200;50.9555;0.0000;53.7755;3.0670;0.0000;47.8886;0.0000;
022;"Net-(Sample1-Pad20)";2;2;2.8200;46.7590;0.0000;49.5790;2.4763;0.0000;44.2827;0.0000;
023;"Net-(Sample1-Pad21)";2;2;2.8200;47.9568;0.0000;50.7768;3.3422;0.0000;44.6146;0.0000;
024;"Net-(Sample1-Pad22)";2;2;2.8200;43.7685;0.0000;46.5885;2.5948;0.0000;41.1737;0.0000;
025;"Net-(Sample1-Pad23)";2;2;2.8200;49.5714;0.0000;52.3914;4.1420;0.0000;45.4294;0.0000;
026;"Net-(Sample1-Pad24)";2;2;2.8200;44.0022;0.0000;46.8222;2.7390;0.0000;41.2632;0.0000;
028;"Net-(R8-Pad2)";1;2;0.2700;57.1675;0.0000;57.4375;45.1176;12.0499;0.0000;0.0000;
029;"Net-(R4-Pad1)";1;2;0.2700;44.1549;0.0000;44.4249;31.3154;12.8396;0.0000;0.0000;
030;"Net-(R5-Pad1)";1;2;0.2700;39.5510;0.0000;39.8210;29.9945;9.5565;0.0000;0.0000;
031;"31";2;2;3.0900;41.4919;0.0000;44.5819;3.2168;0.0000;0.0000;38.2750;
032;"32";2;2;3.0900;38.5284;0.0000;41.6184;2.8201;0.0000;0.0000;35.7083;
033;"33";2;2;3.0900;45.6695;0.0000;48.7595;4.2845;0.0000;0.0000;41.3849;
034;"34";2;2;3.0900;39.7954;0.0000;42.8854;2.1145;0.0000;0.0000;37.6809;
035;"35";2;2;3.0900;50.9796;0.0000;54.0696;5.4682;0.0000;0.0000;45.5114;
036;"36";2;2;3.0900;43.8314;0.0000;46.9214;2.3842;0.0000;0.0000;41.4472;
037;"37";2;2;2.8200;56.2583;0.0000;59.0783;7.6109;0.0000;48.6474;0.0000;
038;"Net-(C1-Pad1)";3;0;0.0000;15.2277;0.0000;15.2277;15.2277;0.0000;0.0000;0.0000;
039;"39";2;2;2.8200;50.3022;0.0000;53.1222;6.9643;0.0000;43.3379;0.0000;
040;"40";2;2;2.8200;44.2742;0.0000;47.0942;6.0725;0.0000;38.2017;0.0000;
041;"Net-(Sample1-Pad37)";2;2;2.8200;42.1894;0.0000;45.0094;1.5324;0.0000;40.6570;0.0000;
042;"Net-(R6-Pad1)";2;2;3.0900;20.6704;0.0000;23.7604;5.9189;0.0000;0.0000;14.7515;
043;"52";2;2;3.0900;38.0021;0.0000;41.0921;34.6370;0.0000;0.0000;3.3651;
044;"53";2;0;0.0000;34.9438;0.0000;34.9438;34.9438;0.0000;0.0000;0.0000;
045;"Net-(Sample1-Pad40)";2;2;3.0900;34.1372;0.0000;37.2272;29.9304;0.0000;0.0000;4.2068;
046;"Net-(Sample1-Pad41)";2;1;1.5450;31.7537;0.0000;33.2987;31.7537;0.0000;0.0000;0.0000;
047;"Net-(Sample1-Pad42)";2;2;3.0900;33.7335;0.0000;36.8235;29.8633;0.0000;0.0000;3.8701;
048;"Net-(Sample1-Pad43)";2;1;1.5450;30.6644;0.0000;32.2094;30.6644;0.0000;0.0000;0.0000;
049;"Net-(Sample1-Pad44)";2;2;3.0900;33.3086;0.0000;36.3986;29.7541;0.0000;0.0000;3.5545;
050;"Net-(Sample1-Pad45)";2;1;1.5450;30.4310;0.0000;31.9760;30.4310;0.0000;0.0000;0.0000;
051;"Net-(Sample1-Pad46)";2;2;3.0900;33.9196;0.0000;37.0096;30.5124;0.0000;0.0000;3.4072;
056;"Net-(C3-Pad1)";1;0;0.0000;6.7491;0.0000;6.7491;6.7491;0.0000;0.0000;0.0000;
061;"Net-(C4-Pad1)";1;0;0.0000;4.5182;0.0000;4.5182;4.5182;0.0000;0.0000;0.0000;
066;"Net-(C5-Pad1)";1;0;0.0000;3.1445;0.0000;3.1445;3.1445;0.0000;0.0000;0.0000;
071;"Net-(C6-Pad1)";1;0;0.0000;6.6964;0.0000;6.6964;6.6964;0.0000;0.0000;0.0000;
076;"Net-(C7-Pad1)";3;0;0.0000;15.2381;0.0000;15.2381;15.2381;0.0000;0.0000;0.0000;
081;"Net-(C8-Pad1)";1;0;0.0000;14.4228;0.0000;14.4228;14.4228;0.0000;0.0000;0.0000;
086;"Net-(C2-Pad1)";3;0;0.0000;13.9314;0.0000;13.9314;13.9314;0.0000;0.0000;0.0000;
092;"GND";0;616;951.7200;0.0000;0.0000;951.7200;0.0000;0.0000;0.0000;0.0000;
